titulo,ubicacion,distrito,zona,precio,precio_m2,precio_categoria,tipo_inmueble,tipo_operacion,dormitorios,banos,area,tamano_categoria,antiguedad,anio_construccion,mantenimiento,publicador,fecha_publicacion,url
Apartamento en alquiler en Ur. Country Club,"Ur. Country Club, San Isidro, Lima, Lima ",San Isidro,Centro,2100.0,7.11864406779661,Lujo,Apartamento,Alquiler,4,2,295.0,Muy Grande,,,,Isotta Lima Space,22 dic. 2022 - Publicado por Isotta Lima Space,https://www.properati.com.pe/detalle/14032-32-5ebe-61e524a9e13a-e90fec66-bbda-4db6
Apartamento en alquiler en Ur. Santa Monica,"Ur. Santa Monica, San Isidro, Lima, Lima ",San Isidro,Centro,1650.0,9.166666666666666,Alto,Apartamento,Alquiler,3,2,180.0,Grande,46.0,1980,S/.748,Corretaje Pelusa,27 feb. 2023 - Publicado por Corretaje Pelusa,https://www.properati.com.pe/detalle/14032-32-db71-376b3a4a66c7-3900e72c-9521-4daf
Apartamento en alquiler en Hu. Colegio Particular Santa Maria Etapa Ii,"Hu. Colegio Particular Santa Maria Etapa Ii, Santiago de Surco, Lima, Lima ",Santiago de Surco,Este,2200.0,7.333333333333333,Lujo,Apartamento,Alquiler,4,4,300.0,Muy Grande,11.0,2015,S/.170,IMMOBILIARE,10 mar. 2023 - Publicado por IMMOBILIARE,https://www.properati.com.pe/detalle/14032-32-8ae6-ff1736b8c0f3-c79a2ede-9f60-4293
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",Miraflores,Centro,1190.0,7.4375,Alto,Apartamento,Alquiler,3,3,160.0,Grande,33.0,1993,S/.689,RE/MAX Principal pe,20 feb. 2023 - Publicado por RE/MAX Principal pe,https://www.properati.com.pe/detalle/14032-32-ad35-c14abebf1009-bce9e8b1-817e-4937
Apartamento en alquiler en Ur. Bella Luz,"Ur. Bella Luz, Santiago de Surco, Lima, Lima ",Santiago de Surco,Este,2500.0,11.52073732718894,Lujo,Apartamento,Alquiler,4,4,217.0,Muy Grande,,,,Century 21 Premium,28 feb. 2023 - Publicado por Century 21 Premium,https://www.properati.com.pe/detalle/14032-32-b686-1d733af590b6-b7242cb8-a246-3de4
Casa en alquiler en Yanahuara,"Yanahuara, Arequipa, Arequipa ",Arequipa,Otro,1700.0,7.7272727272727275,Alto,Casa,Alquiler,4,3,220.0,Muy Grande,16.0,2010,,Sandra Carbajal,22 mar. 2023 - Publicado por Sandra Carbajal,https://www.properati.com.pe/detalle/14032-32-c8e3-efec18b32a5a-784be0f0-b171-120d
Apartamento en alquiler en Cayma,"Cayma, Arequipa, Arequipa ",Arequipa,Otro,1200.0,10.909090909090908,Alto,Apartamento,Alquiler,3,3,110.0,Grande,16.0,2010,,Sandra Carbajal,22 mar. 2023 - Publicado por Sandra Carbajal,https://www.properati.com.pe/detalle/14032-32-c8e0-5fe03513bed1-3c6ce50-bec2-120d
Apartamento en alquiler en Urb Confraternidad,"Urb Confraternidad, Provincia de Lima, Provincia de Lima ",Provincia de Lima,Otro,650.0,11.818181818181818,Moderado,Apartamento,Alquiler,1,1,55.0,Mediano,8.0,2018,S/.405,joresco real estate,18 jul. 2022 - Publicado por joresco real estate,https://www.properati.com.pe/detalle/14032-32-6fc0-5b8a400549a1-541e04c-8adf-49cf
Apartamento en alquiler en Country Club,"Country Club, Urb San Felipe, Provincia de Lima, Provincia de Lima ",Urb San Felipe,Otro,780.0,780.0,Moderado,Apartamento,Alquiler,2,2,1.0,Pequeño,51.0,1975,,Jose Antonio Mejia Ludowieg,29 ago. 2022 - Publicado por Jose Antonio Mejia Ludowieg,https://www.properati.com.pe/detalle/14032-32-5ff-5e95553cbfd9-4cff7b8d-ac23-332a
Habitación en alquiler en Ur. San Borja,"Ur. San Borja, San Borja, Lima, Lima ",San Borja,Otro,1100.0,44.0,Alto,Habitación,Alquiler,1,1,25.0,Pequeño,,25 m²,,SOCIOS INMOBILIARIOS,14 mar. 2023 - Publicado por SOCIOS INMOBILIARIOS,https://www.properati.com.pe/detalle/14032-32-ef68-59a97aefd80e-91c89fe5-b275-425d
Apartamento en alquiler en Ur. San Luis,"Ur. San Luis, Miraflores, Lima, Lima ",Miraflores,Centro,2200.0,6.626506024096385,Lujo,Apartamento,Alquiler,3,3,332.0,Muy Grande,,,"S/.1,080",Isotta Lima Space,17 nov. 2022 - Publicado por Isotta Lima Space,https://www.properati.com.pe/detalle/14032-32-e352-2649a2997a4e-400d0dbf-9904-45be
Apartamento en alquiler en Ur. Aurora,"Ur. Aurora, Miraflores, Lima, Lima ",Miraflores,Centro,1500.0,9.67741935483871,Alto,Apartamento,Alquiler,3,3,155.0,Grande,,,S/.650,Bienes Raices Marisol,20 feb. 2023 - Publicado por Bienes Raices Marisol,https://www.properati.com.pe/detalle/14032-32-47ab-be979c042ae-2112430e-8f5b-452a
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",Miraflores,Centro,650.0,8.125,Moderado,Apartamento,Alquiler,2,2,80.0,Mediano,26.0,2000,S/.345,Boris Bobbio Stihl,6 feb. 2023 - Publicado por Boris Bobbio Stihl,https://www.properati.com.pe/detalle/14032-32-834-d2a3e04fd20d-fb042606-a795-4391
Apartamento en alquiler en Ur. San Felipe,"Ur. San Felipe, Magdalena del Mar, Lima, Lima ",Magdalena del Mar,Centro,1000.0,9.00900900900901,Alto,Apartamento,Alquiler,3,2,111.0,Grande,19.0,2007,S/.350,REMAX SUNSET,22 feb. 2023 - Publicado por REMAX SUNSET,https://www.properati.com.pe/detalle/14032-32-5933-1da5603a7652-81f553db-983b-4690
Apartamento en alquiler en Valle Hermoso Oeste,"Valle Hermoso Oeste, Provincia de Lima, Provincia de Lima ",Provincia de Lima,Otro,2550.0,6.488549618320611,Lujo,Apartamento,Alquiler,5,7,393.0,Muy Grande,16.0,2010,S/.780,Roxana Elvira Lazarte Alatrista,8 abr. 2022 - Publicado por Roxana Elvira Lazarte Alatrista,https://www.properati.com.pe/detalle/14032-32-a9dd-9558745f9757-4c2100b6-a0ee-4032
Apartamento en alquiler en Re. San Felipe,"Re. San Felipe, San Isidro, Lima, Lima ",San Isidro,Centro,1200.0,7.6923076923076925,Alto,Apartamento,Alquiler,3,2,156.0,Grande,,,S/.550,SOCIOS INMOBILIARIOS,20 mar. 2023 - Publicado por SOCIOS INMOBILIARIOS,https://www.properati.com.pe/detalle/14032-32-e30a-391f8a0d1bb9-c6e8a62-bcc0-4ae7
Apartamento en alquiler en Ur. Cerros De Camacho,"Ur. Cerros De Camacho, Santiago de Surco, Lima, Lima ",Santiago de Surco,Este,4500.0,4500.0,Lujo,Apartamento,Alquiler,4,5,1.0,Pequeño,,405 m²,,Lorena Grande Valle Riestra,23 feb. 2023 - Publicado por Lorena Grande Valle Riestra,https://www.properati.com.pe/detalle/14032-32-7037-192669365f93-bea488ba-9763-387d
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",Miraflores,Centro,1150.0,7.419354838709677,Alto,Apartamento,Alquiler,3,3,155.0,Grande,45.0,1981,,RE/MAX PERÚ,16 mar. 2023 - Publicado por RE/MAX PERÚ,https://www.properati.com.pe/detalle/14032-32-4c84-9f22cc0ee3ec-60c0c686-9b5e-4931
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",Miraflores,Centro,75.0,1.5,Económico,Apartamento,Alquiler,1,1,50.0,Mediano,,,,Fiorella Saldarriaga,1 oct. 2021 - Publicado por Fiorella Saldarriaga,https://www.properati.com.pe/detalle/14032-32-448b-7aaf84024e31-13b91dc6-9b53-4ce6
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",Miraflores,Centro,1100.0,11.0,Alto,Apartamento,Alquiler,2,2,100.0,Grande,,,S/.575,Isotta Lima Space,27 feb. 2023 - Publicado por Isotta Lima Space,https://www.properati.com.pe/detalle/14032-32-ffea-74720b4f32c8-935120a3-875a-4276
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ",Barranco,Sur,3000.0,10.714285714285714,Lujo,Apartamento,Alquiler,4,3,280.0,Muy Grande,10.0,2016,S/.900,Proyectum  Perú,10 mar. 2023 - Publicado por Proyectum  Perú,https://www.properati.com.pe/detalle/14032-32-e2d2-6f44fa7e639-e220733d-834e-4cf2
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",Miraflores,Centro,850.0,8.947368421052632,Moderado,Apartamento,Alquiler,3,2,95.0,Mediano,,,,Century 21 Excellence.,28 feb. 2023 - Publicado por Century 21 Excellence.,https://www.properati.com.pe/detalle/14032-32-c88b-298d82c12174-2170e573-9357-3537
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",Miraflores,Centro,2100.0,7.865168539325842,Lujo,Apartamento,Alquiler,3,4,267.0,Muy Grande,12.0,2014,S/.500,RE/MAX Talento,3 mar. 2023 - Publicado por RE/MAX Talento,https://www.properati.com.pe/detalle/14032-32-9a42-905bda75d781-8eebda60-910e-4f85
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",Miraflores,Centro,900.0,7.5,Moderado,Apartamento,Alquiler,3,2,120.0,Grande,14.0,2012,S/.640,RE/MAX Expo,1 feb. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-ec6-bf4cd79612cc-3dbb1fe6-8563-429c
Apartamento en alquiler en Ur. San Antonio,"Ur. San Antonio, Miraflores, Lima, Lima ",Miraflores,Centro,850.0,9.883720930232558,Moderado,Apartamento,Alquiler,3,3,86.0,Mediano,15.0,2011,S/.300,REMAX FULL INMOBILIARIA,27 feb. 2023 - Publicado por REMAX FULL INMOBILIARIA,https://www.properati.com.pe/detalle/14032-32-918d-6282388ac92f-956d1871-96e0-4e4e
Apartamento en alquiler en Ur. San Antonio,"Ur. San Antonio, Miraflores, Lima, Lima ",Miraflores,Centro,1350.0,1350.0,Alto,Apartamento,Alquiler,3,3,1.0,Pequeño,,132 m²,, Teresa Beatriz Garcia Naranjo  Cornejo ,24 feb. 2023 - Publicado por  Teresa Beatriz Garcia Naranjo  Cornejo ,https://www.properati.com.pe/detalle/14032-32-87fe-208abbebb7e7-1cfd8b73-a6e1-3ed9
Casa en alquiler en Ur. El Sol De La Molina Etapa Iii,"Ur. El Sol De La Molina Etapa Iii, La Molina, Lima, Lima ",La Molina,Este,2500.0,9.689922480620154,Lujo,Casa,Alquiler,4,4,258.0,Muy Grande,25.0,2001,,Ventas Primeras Bienes Raices,14 ene. 2023 - Publicado por Ventas Primeras Bienes Raices,https://www.properati.com.pe/detalle/14032-32-f90a-32d7c1aec14-4a0d4104-ac66-46b4
Apartamento en alquiler en Urb Cercado de Miraflores,"Urb Cercado de Miraflores, Provincia de Lima, Provincia de Lima ",Provincia de Lima,Otro,1800.0,7.43801652892562,Alto,Apartamento,Alquiler,3,5,242.0,Muy Grande,,,,FLOR  D,2 oct. 2022 - Publicado por FLOR  D,https://www.properati.com.pe/detalle/14032-32-b465-a16ce3440e8c-e619f7ba-894e-46e5
Apartamento en alquiler en Ur. La Viñita,"Ur. La Viñita, Barranco, Lima, Lima ",Barranco,Sur,1000.0,13.88888888888889,Alto,Apartamento,Alquiler,3,2,72.0,Mediano,4.0,2022,S/.50,GABRIEL PAREJA Agente Inmobiliario,11 mar. 2023 - Publicado por GABRIEL PAREJA Agente Inmobiliario,https://www.properati.com.pe/detalle/14032-32-c085-3bebdd2ffe8f-65afbfe0-a99f-120d
Apartamento en alquiler en Ur. Leuro,"Ur. Leuro, Miraflores, Lima, Lima ",Miraflores,Centro,700.0,8.75,Moderado,Apartamento,Alquiler,2,2,80.0,Mediano,22.0,2004,,JM HOME INMOBILIARIA,18 mar. 2023 - Publicado por JM HOME INMOBILIARIA,https://www.properati.com.pe/detalle/14032-32-928b-fb03e0d84cad-321c029e-a903-4a1c
Apartamento en alquiler en Ur. Oyague,"Ur. Oyague, Magdalena del Mar, Lima, Lima ",Magdalena del Mar,Centro,473.0,9.854166666666666,Económico,Apartamento,Alquiler,1,1,48.0,Pequeño,,,,Century 21 Premium,9 mar. 2023 - Publicado por Century 21 Premium,https://www.properati.com.pe/detalle/14032-32-934b-affdf5000f6e-9fce44ac-b91d-3643
Apartamento en alquiler en Ur. Country Club,"Ur. Country Club, San Isidro, Lima, Lima ",San Isidro,Centro,1800.0,7.5,Alto,Apartamento,Alquiler,3,2,240.0,Muy Grande,36.0,1990,,Lucy Mier y Teran,16 mar. 2023 - Publicado por Lucy Mier y Teran,https://www.properati.com.pe/detalle/14032-32-2fcc-dc5d12726f0d-9e75a2bb-8510-4194
Casa de playa en alquiler en Playa San Bartolo,"Playa San Bartolo, Provincia de Lima, Provincia de Lima ",Provincia de Lima,Otro,2000.0,2000.0,Lujo,Casa de playa,Alquiler,3,3,1.0,Pequeño,7.0,2019,S/.300,INMOBILIARIA CRI  PROPIEDADES ,12 oct. 2022 - Publicado por INMOBILIARIA CRI  PROPIEDADES ,https://www.properati.com.pe/detalle/14032-32-8187-b05fad163a90-51d3e59c-a60a-454a
Apartamento en alquiler en Cayma,"Cayma, Arequipa, Arequipa ",Arequipa,Otro,850.0,9.444444444444445,Moderado,Apartamento,Alquiler,3,2,90.0,Mediano,5.0,2021,,Sandra Carbajal,28 dic. 2022 - Publicado por Sandra Carbajal,https://www.properati.com.pe/detalle/14032-32-871e-b98d691e7a69-6bd80df0-b90d-120d
Casa en alquiler en Ur. Orrantia Del Mar Zona Iv,"Ur. Orrantia Del Mar Zona Iv, San Isidro, Lima, Lima ",San Isidro,Centro,2000.0,6.389776357827476,Lujo,Casa,Alquiler,3,5,313.0,Muy Grande,,,,Madeleine Beltran,2 dic. 2022 - Publicado por Madeleine Beltran,https://www.properati.com.pe/detalle/14032-32-d9d9-d1070f73140b-2d956fb8-9fb5-4258
Apartamento en alquiler en San Isidro,"San Isidro, Lima, Lima ",Lima,Otro,1350.0,6.308411214953271,Alto,Apartamento,Alquiler,3,3,214.0,Muy Grande,6.0,2020,S/.450,Gestiones Exitosas,9 dic. 2022 - Publicado por Gestiones Exitosas,https://www.properati.com.pe/detalle/14032-32-685f-6855933d8878-8d3added-89ba-485d
Casa en alquiler en Surco,"Surco, Santiago De Surco, Lima, Lima ",Santiago De Surco,Este,1800.0,6.923076923076923,Alto,Casa,Alquiler,4,3,260.0,Muy Grande,36.0,1990,S/.700,Romero Inmobiliaria,24 ene. 2023 - Publicado por Romero Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-9c49-27fdfbcb8fc8-354b4190-a590-120d
Apartamento en alquiler en Ur. Santa Justina,"Ur. Santa Justina, Santiago de Surco, Lima, Lima ",Santiago de Surco,Este,1400.0,7.368421052631579,Alto,Apartamento,Alquiler,3,4,190.0,Grande,12.0,2014,S/.600,DOMUS REAL ESTATE ,9 mar. 2023 - Publicado por DOMUS REAL ESTATE ,https://www.properati.com.pe/detalle/14032-32-eaa7-6634980f601c-85e362d0-bf6b-474f
Apartamento en alquiler en Ur. Armendariz,"Ur. Armendariz, Miraflores, Lima, Lima ",Miraflores,Centro,1100.0,10.576923076923077,Alto,Apartamento,Alquiler,2,3,104.0,Grande,6.0,2020,S/.520,SOCIOS INMOBILIARIOS,17 mar. 2023 - Publicado por SOCIOS INMOBILIARIOS,https://www.properati.com.pe/detalle/14032-32-f3ac-3575f15566be-e9e0e613-9c39-42b6
Apartamento en alquiler en Sector 3,"Sector 3, Provincia de Lima, Provincia de Lima ",Provincia de Lima,Otro,1350.0,6.308411214953271,Alto,Apartamento,Alquiler,3,2,214.0,Muy Grande,25.0,2001,S/.450,JOSE MIGUEL REQUENA MARCELO,11 abr. 2022 - Publicado por JOSE MIGUEL REQUENA MARCELO,https://www.properati.com.pe/detalle/14032-32-9d53-7a478bf65677-da102e85-997b-4b96
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",Miraflores,Centro,1300.0,8.125,Alto,Apartamento,Alquiler,3,3,160.0,Grande,,,S/.720,Faure Cruz,16 feb. 2023 - Publicado por Faure Cruz,https://www.properati.com.pe/detalle/14032-32-5184-7575224c3821-673a5e15-bbb4-4b8e
Casa en alquiler en Co. La Molina Real,"Co. La Molina Real, La Molina, Lima, Lima ",La Molina,Este,2200.0,7.857142857142857,Lujo,Casa,Alquiler,5,5,280.0,Muy Grande,13.0,2013,S/.600,REMAX SPAZIO,16 mar. 2023 - Publicado por REMAX SPAZIO,https://www.properati.com.pe/detalle/14032-32-41c4-83677a5d1ce-d414da19-b116-4233
Apartamento en alquiler en Ur. Orrantia,"Ur. Orrantia, San Isidro, Lima, Lima ",San Isidro,Centro,750.0,10.714285714285714,Moderado,Apartamento,Alquiler,1,1,70.0,Mediano,,,S/.225,Isotta Lima Space,14 mar. 2023 - Publicado por Isotta Lima Space,https://www.properati.com.pe/detalle/14032-32-b155-47d0decbe1ef-b1f9e409-9101-4406
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",Miraflores,Centro,600.0,6.0,Moderado,Apartamento,Alquiler,2,1,100.0,Grande,,,,SOCIOS INMOBILIARIOS,28 nov. 2022 - Publicado por SOCIOS INMOBILIARIOS,https://www.properati.com.pe/detalle/14032-32-412f-6faa21c748b4-d06bd7d1-90bc-4f83
Casa en alquiler en Ur. Humboldt,"Ur. Humboldt, Miraflores, Lima, Lima ",Miraflores,Centro,1700.0,4.722222222222222,Alto,Casa,Alquiler,4,3,360.0,Muy Grande,4.0,2022,,Silvia Seminario Agurto,4 feb. 2023 - Publicado por Silvia Seminario Agurto,https://www.properati.com.pe/detalle/14032-32-dce3-580c3545c01f-e625f046-8f55-42bf
Apartamento en alquiler en Ur. La Alameda,"Ur. La Alameda, Santiago de Surco, Lima, Lima ",Santiago de Surco,Este,620.0,6.526315789473684,Moderado,Apartamento,Alquiler,2,2,95.0,Mediano,36.0,1990,S/.130,RENZO ACUÑA BENDEZÚ,27 ene. 2023 - Publicado por RENZO ACUÑA BENDEZÚ,https://www.properati.com.pe/detalle/14032-32-17dd-b7e951405128-121e9293-a7bf-4c77
Apartamento en alquiler en Ur. San Antonio,"Ur. San Antonio, Miraflores, Lima, Lima ",Miraflores,Centro,1100.0,8.73015873015873,Alto,Apartamento,Alquiler,2,2,126.0,Grande,9.0,2017,S/.530,Maria del Pilar Cabrera S.,2 mar. 2023 - Publicado por Maria del Pilar Cabrera S.,https://www.properati.com.pe/detalle/14032-32-ab4-511d4621325f-b443310-9c30-4659
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",Miraflores,Centro,800.0,9.63855421686747,Moderado,Apartamento,Alquiler,1,2,83.0,Mediano,7.0,2019,S/.400,Century 21 Horizonte,3 feb. 2023 - Publicado por Century 21 Horizonte,https://www.properati.com.pe/detalle/14032-32-c7f7-d450ba199cbd-1c7a26e4-92a4-4802
Apartamento en alquiler en Ur. Casuarinas Sur,"Ur. Casuarinas Sur, Santiago de Surco, Lima, Lima ",Santiago de Surco,Este,750.0,6.521739130434782,Moderado,Apartamento,Alquiler,3,2,115.0,Grande,12.0,2014,S/.500,CARLA EMPERATRIZ NEIRA SILVA,20 feb. 2023 - Publicado por CARLA EMPERATRIZ NEIRA SILVA,https://www.properati.com.pe/detalle/14032-32-2b70-ff10afbd4727-f97d71ef-ba37-45f7
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ",Barranco,Sur,1880.0,8.0,Alto,Apartamento,Alquiler,3,2,235.0,Muy Grande,18.0,2008,"S/.1,300",NG Inmobiliaria,7 mar. 2023 - Publicado por NG Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-7183-da85d5d91323-5718b7ce-8401-4b86
Apartamento en alquiler en Ur. Orrantia,"Ur. Orrantia, San Isidro, Lima, Lima ",San Isidro,Centro,1150.0,8.518518518518519,Alto,Apartamento,Alquiler,3,4,135.0,Grande,12.0,2014,S/.520,Lady Montes de Oca,25 feb. 2023 - Publicado por Lady Montes de Oca,https://www.properati.com.pe/detalle/14032-32-205b-cd0ee430d35d-3ba16fcb-b37a-458a
Casa en alquiler en Ur. La Encantada,"Ur. La Encantada, Chorrillos, Lima, Lima ",Chorrillos,Sur,2800.0,4.912280701754386,Lujo,Casa,Alquiler,3,2,570.0,Muy Grande,25.0,2001,S/.670,Inmoba Peru SAC,12 ene. 2023 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-b687-fcf325908c1c-ac5d114f-9910-42ab
Apartamento en alquiler en Ur. Campo De Polo,"Ur. Campo De Polo, San Isidro, Lima, Lima ",San Isidro,Centro,1400.0,7.954545454545454,Alto,Apartamento,Alquiler,3,3,176.0,Grande,12.0,2014,"S/.1,360",ANA MARIA CECILIA ARTEAGA RODRIGUEZ,16 nov. 2022 - Publicado por ANA MARIA CECILIA ARTEAGA RODRIGUEZ,https://www.properati.com.pe/detalle/14032-32-67e-7961ec75091a-4f396479-8531-46a1
Apartamento en alquiler en Asia,"Asia, Cañete, Lima ",Cañete,Otro,1000.0,6.25,Alto,Apartamento,Alquiler,4,3,160.0,Grande,,,,Inmoba Peru SAC,3 ene. 2023 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-3f03-7be4c4e646f7-e4d02d79-a9b6-47d9
Apartamento en alquiler en Ur. La Viñita,"Ur. La Viñita, Barranco, Lima, Lima ",Barranco,Sur,550.0,8.870967741935484,Moderado,Apartamento,Alquiler,2,1,62.0,Mediano,18.0,2008,S/.180,Inmoba Peru SAC,16 feb. 2023 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-66f-1b9cb52d3179-be2b6645-9397-4944
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",Miraflores,Centro,2000.0,10.0,Lujo,Apartamento,Alquiler,3,2,200.0,Muy Grande,8.0,2018,S/.603,Büro Propiedades,16 feb. 2023 - Publicado por Büro Propiedades,https://www.properati.com.pe/detalle/14032-32-2194-dfc2de2de1b0-e392cfaa-9c16-4b6a
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",Miraflores,Centro,1000.0,8.333333333333334,Alto,Apartamento,Alquiler,3,3,120.0,Grande,7.0,2019,S/.450, INMOBILIARIA TUCASA A1 PERU,24 ene. 2023 - Publicado por  INMOBILIARIA TUCASA A1 PERU,https://www.properati.com.pe/detalle/14032-32-1027-6e637ab2439a-f3786c9e-9874-44f3
Apartamento en alquiler en Ur. Chacarilla Del Estanque,"Ur. Chacarilla Del Estanque, San Borja, Lima, Lima ",San Borja,Otro,1500.0,10.0,Alto,Apartamento,Alquiler,3,3,150.0,Grande,4.0,2022,S/.700,RE/MAX Expo,9 mar. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-d9b7-2cf8649679c1-18551c74-a815-4a3c
Apartamento en alquiler en Fundo Conde San Isidro,"Fundo Conde San Isidro, Provincia de Lima, Provincia de Lima ",Provincia de Lima,Otro,850.0,7.456140350877193,Moderado,Apartamento,Alquiler,3,3,114.0,Grande,,,S/.300,REMAX SUNSET,26 oct. 2022 - Publicado por REMAX SUNSET,https://www.properati.com.pe/detalle/14032-32-99c3-cfb7aa40f7e7-944e2982-8b7a-4b80
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",Miraflores,Centro,1800.0,10.588235294117647,Alto,Apartamento,Alquiler,2,3,170.0,Grande,13.0,2013,S/.506,Manuel Villarreal Perez,14 mar. 2023 - Publicado por Manuel Villarreal Perez,https://www.properati.com.pe/detalle/14032-32-ea5f-bd724abdf0b0-620ff35d-8dfb-4c50
Apartamento en alquiler en Santa Rosa,"Santa Rosa, Provincia de Lima, Provincia de Lima ",Provincia de Lima,Otro,2500.0,11.52073732718894,Lujo,Apartamento,Alquiler,3,3,217.0,Muy Grande,,,S/.880,Lucy Mier y Teran,17 mar. 2022 - Publicado por Lucy Mier y Teran,https://www.properati.com.pe/detalle/14032-32-c44c-cb19a3937e63-cba2504-a3bd-4a08
Casa en alquiler en As. Miguel Grau,"As. Miguel Grau, San Bartolo, Lima, Lima ",San Bartolo,Sur,450.0,3.75,Económico,Casa,Alquiler,3,1,120.0,Grande,,,,Alfredo Maccera,6 mar. 2023 - Publicado por Alfredo Maccera,https://www.properati.com.pe/detalle/14032-32-bc71-c73c661fb498-c94357a0-8d71-120d
Apartamento en alquiler en Ur. Las Magnolias,"Ur. Las Magnolias, Santiago de Surco, Lima, Lima ",Santiago de Surco,Este,750.0,6.198347107438017,Moderado,Apartamento,Alquiler,3,3,121.0,Grande,19.0,2007,S/.160,RE/MAX Expo,5 feb. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-6233-d395937c0e17-42b066e9-a76c-4f91
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",Miraflores,Centro,950.0,7.421875,Moderado,Apartamento,Alquiler,2,3,128.0,Grande,8.0,2018,S/.550,Manuel Villarreal Perez,12 mar. 2023 - Publicado por Manuel Villarreal Perez,https://www.properati.com.pe/detalle/14032-32-b329-3bcc8f6202ec-5f71e3ef-86e0-4d04
Casa en alquiler en Asia,"Asia, Cañete, Lima ",Cañete,Otro,600.0,0.8571428571428571,Moderado,Casa,Alquiler,4,4,700.0,Muy Grande,4.0,2022,,GG BIENES RAICES,11 feb. 2023 - Publicado por GG BIENES RAICES,https://www.properati.com.pe/detalle/14032-32-6c9f-6183348c61ed-dc4bbfdc-84ca-4801
Apartamento en alquiler en Santiago de Surco,"Santiago de Surco, Lima, Lima ",Lima,Otro,800.0,5.517241379310345,Moderado,Apartamento,Alquiler,2,2,145.0,Grande,3.0,2023,S/.200,MARÍA CECILIA UGAZ BEER,11 mar. 2023 - Publicado por MARÍA CECILIA UGAZ BEER,https://www.properati.com.pe/detalle/14032-32-c048-adde0b22dd60-d89176d0-b132-120d
Apartamento en alquiler en Ur. Chacarilla Del Estanque,"Ur. Chacarilla Del Estanque, Santiago de Surco, Lima, Lima ",Santiago de Surco,Este,2200.0,7.333333333333333,Lujo,Apartamento,Alquiler,3,3,300.0,Muy Grande,12.0,2014,S/.170,ERICK FERNANDO REATEGUI VARGAS,11 mar. 2023 - Publicado por ERICK FERNANDO REATEGUI VARGAS,https://www.properati.com.pe/detalle/14032-32-c06b-fb738b2ee363-26a151c0-aac3-120d
Apartamento en alquiler en Las Acacias,"Las Acacias, Provincia de Lima, Provincia de Lima ",Provincia de Lima,Otro,650.0,5.0,Moderado,Apartamento,Alquiler,1,1,130.0,Grande,14.0,2012,,María  Del Carmen Mesones Villacorta,3 jun. 2022 - Publicado por María  Del Carmen Mesones Villacorta,https://www.properati.com.pe/detalle/14032-32-4294-b4743415b9db-59868097-bc98-3b13
Apartamento en alquiler en Miraflores,"Miraflores, Lima, Lima ",Lima,Otro,600.0,10.0,Moderado,Apartamento,Alquiler,1,1,60.0,Mediano,3.0,2023,S/.200,MARÍA CECILIA UGAZ BEER,11 mar. 2023 - Publicado por MARÍA CECILIA UGAZ BEER,https://www.properati.com.pe/detalle/14032-32-c047-4d38b668e473-ada67c00-8a37-120d
Apartamento en alquiler en Ur. Monterrico Norte,"Ur. Monterrico Norte, San Borja, Lima, Lima ",San Borja,Otro,950.0,11.585365853658537,Moderado,Apartamento,Alquiler,3,2,82.0,Mediano,,,,REMAX AHORA,9 mar. 2023 - Publicado por REMAX AHORA,https://www.properati.com.pe/detalle/14032-32-ce00-a494b50ac00b-1b9db7fa-9ef1-4df4
