titulo,ubicacion,distrito,zona,precio,precio_m2,precio_categoria,tipo_inmueble,tipo_operacion,dormitorios,banos,area,tamano_categoria,antiguedad,anio_construccion,mantenimiento,publicador,fecha_publicacion,url
Apartamento en alquiler en Ur. Leuro,"Ur. Leuro, Miraflores, Lima, Lima ",Miraflores,Centro,1450.0,8.285714285714286,Alto,Apartamento,Alquiler,3,2,175.0,Grande,12.0,2014,S/.500,Inmoba Peru SAC,29 dic. 2022 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-213d-44b81e94700a-c8470f57-a4af-42e5
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",Miraflores,Centro,1300.0,12.149532710280374,Alto,Apartamento,Alquiler,3,3,107.0,Grande,16.0,2010,S/.440,SERVICIOS INMOBILIARIOS,22 mar. 2023 - Publicado por SERVICIOS INMOBILIARIOS,https://www.properati.com.pe/detalle/14032-32-45eb-df600df2dd08-b438f19f-8b1c-4f9a
Apartamento en alquiler en Ur. Leuro,"Ur. Leuro, Miraflores, Lima, Lima ",Miraflores,Centro,850.0,6.8,Moderado,Apartamento,Alquiler,3,2,125.0,Grande,,,,RE/MAX Expo,26 dic. 2022 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-31e5-f56cb44a69f3-1354c567-8e16-4287
Apartamento en alquiler en Ur. La Viñita,"Ur. La Viñita, Barranco, Lima, Lima ",Barranco,Sur,600.0,9.67741935483871,Moderado,Apartamento,Alquiler,2,1,62.0,Mediano,18.0,2008,S/.180,Inmoba Peru SAC,16 feb. 2023 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-3f3d-f2bebcd48f92-c0a2bb8-9d92-4487
Apartamento en alquiler en Surco,"Surco, Santiago De Surco, Lima, Lima ",Santiago De Surco,Este,1500.0,6.818181818181818,Alto,Apartamento,Alquiler,4,4,220.0,Muy Grande,13.0,2013,S/.550,Inmoba Peru SAC,14 mar. 2023 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-a6d5-20c6b8a2ce1e-f66195c6-9159-4417
Apartamento en alquiler en Ah. Moron,"Ah. Moron, Chaclacayo, Lima, Lima ",Chaclacayo,Otro,370.0,4.352941176470588,Económico,Apartamento,Alquiler,3,2,85.0,Mediano,15.0,2011,,Remax Diamond,"Hace 2 semanas, 4 días - Publicado por Remax Diamond",https://www.properati.com.pe/detalle/14032-32-bf6-4f67af066e6e-38077caa-bf4e-4ed5
Casa en alquiler en Cieneguilla,"Cieneguilla, Lima, Lima ",Lima,Otro,1500.0,3.0,Alto,Casa,Alquiler,3,3,500.0,Muy Grande,6.0,2020,,RE/MAX Principal pe,2 mar. 2023 - Publicado por RE/MAX Principal pe,https://www.properati.com.pe/detalle/14032-32-b1d1-78ea9176119c-6f6e8d5e-a803-4590
Apartamento en alquiler en Urb Cercado de Miraflores,"Urb Cercado de Miraflores, Provincia de Lima, Provincia de Lima ",Provincia de Lima,Otro,1400.0,12.612612612612613,Alto,Apartamento,Alquiler,2,2,111.0,Grande,21.0,2005,,Inmoba Peru SAC,26 feb. 2022 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-2533-df88700c81f6-b4d70ba3-ba7a-40c7
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",Miraflores,Centro,1050.0,8.4,Alto,Apartamento,Alquiler,1,3,125.0,Grande,8.0,2018,S/.380,SOCIOS INMOBILIARIOS,"Hace 1 día, 2 horas - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-3972-d3764fd50aef-18593f76-9b9c-4b00
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",Miraflores,Centro,850.0,10.119047619047619,Moderado,Apartamento,Alquiler,2,2,84.0,Mediano,14.0,2012,S/.400,Intermediación Inmobiliaria – CHS,"Hace 1 día, 19 horas - Publicado por Intermediación Inmobiliaria – CHS",https://www.properati.com.pe/detalle/14032-32-fb0c-a754f883812a-3094fa58-8746-4ecb
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",Miraflores,Centro,700.0,7.865168539325842,Moderado,Apartamento,Alquiler,3,3,89.0,Mediano,16.0,2010,S/.400,SOCIOS INMOBILIARIOS,"Hace 1 día, 12 horas - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-c688-a2c18253d867-ed0b3a68-81f6-4631
Casa en alquiler en Ur. Los Halcones,"Ur. Los Halcones, Chaclacayo, Lima, Lima ",Chaclacayo,Otro,1800.0,2.8846153846153846,Alto,Casa,Alquiler,3,3,624.0,Muy Grande,38.0,1988,S/.1,RE/MAX Lider-Luis Lancho Navas,"Hace 5 días, 19 horas - Publicado por RE/MAX Lider-Luis Lancho Navas",https://www.properati.com.pe/detalle/14032-32-d3d9-cb66a168a494-76986cc-a2b3-40f9
Apartamento en alquiler en Ur. Chacarilla Santa Cruz,"Ur. Chacarilla Santa Cruz, San Isidro, Lima, Lima ",San Isidro,Centro,510.0,9.272727272727273,Moderado,Apartamento,Alquiler,1,1,55.0,Mediano,4.0,2022,,SOCIOS INMOBILIARIOS,28 feb. 2023 - Publicado por SOCIOS INMOBILIARIOS,https://www.properati.com.pe/detalle/14032-32-3519-7da18e9db76c-950dc6a6-96bb-4320
Apartamento en alquiler en Lince,"Lince, Lima, Lima ",Lima,Otro,700.0,14.0,Moderado,Apartamento,Alquiler,1,1,50.0,Mediano,,,S/.200,KRB Agencia Perú,"Hace 5 días, 12 horas - Publicado por KRB Agencia Perú",https://www.properati.com.pe/detalle/14032-32-f9a1-59304cbc4abd-2ea29ec4-ae54-4bf1
Casa en alquiler en Chorrillos,"Chorrillos, Lima, Lima ",Lima,Otro,2800.0,2800.0,Lujo,Casa,Alquiler,4,3,1.0,Pequeño,,,,Inmoba Peru SAC,19 feb. 2023 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-1992-b9cf4f7511fa-5cf73bb8-a1f2-4f14
Apartamento en alquiler en Ur. Valle Hermoso Oeste,"Ur. Valle Hermoso Oeste, Santiago de Surco, Lima, Lima ",Santiago de Surco,Este,4300.0,9.148936170212766,Lujo,Apartamento,Alquiler,5,5,470.0,Muy Grande,12.0,2014,"S/.1,500",Büro Propiedades,Hace 1 semana - Publicado por Büro Propiedades,https://www.properati.com.pe/detalle/14032-32-fa13-113ebd37d42e-86027943-8493-461b
Apartamento en alquiler en Ur. Armendariz,"Ur. Armendariz, Miraflores, Lima, Lima ",Miraflores,Centro,950.0,5.277777777777778,Moderado,Apartamento,Alquiler,3,3,180.0,Grande,43.0,1983,S/.450,KRB Agencia Perú,"Hace 1 día, 17 horas - Publicado por KRB Agencia Perú",https://www.properati.com.pe/detalle/14032-32-ae0a-93af099556a3-5340ad5b-b68c-4891
Apartamento en alquiler en Surquillo,"Surquillo, Provincia de Lima, Provincia de Lima ",Provincia de Lima,Otro,350000.0,2755.9055118110236,Lujo,Apartamento,Alquiler,2,2,127.0,Grande,6.0,2020,S/.550,Verónica Arosemena,2 jun. 2022 - Publicado por Verónica Arosemena,https://www.properati.com.pe/detalle/14032-32-9c51-923a5e9a2bb0-572d30e1-bb48-4b6d
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",Miraflores,Centro,1450.0,7.25,Alto,Apartamento,Alquiler,3,2,200.0,Muy Grande,,,S/.550,Isotta Lima Space,"Hace 1 semana, 6 días - Publicado por Isotta Lima Space",https://www.properati.com.pe/detalle/14032-32-ba63-65b75289d07c-bef2657c-8d03-451e
Apartamento en alquiler en Ur. San Antonio,"Ur. San Antonio, Miraflores, Lima, Lima ",Miraflores,Centro,790.0,6.810344827586207,Moderado,Apartamento,Alquiler,3,2,116.0,Grande,7.0,2019,S/.50,JESUS ALTAMIRANO CONDEMARIN,"Hace 1 semana, 3 días - Publicado por JESUS ALTAMIRANO CONDEMARIN",https://www.properati.com.pe/detalle/14032-32-7592-7fe74a33ee99-5efee4c3-8250-4710
